name,price,product_url,quantity
RS Electrical 100 Watt Automatic Temperature Control Fish Aquarium Heater,370.00,//www.daraz.com.np/products/rs-electrical-100-watt-automatic-temperature-control-fish-aquarium-heater-i128154491-s1035251538.html?search=1,
Mixed Color Decorative Stones For Aquarium 500g,150.00,//www.daraz.com.np/products/mixed-color-decorative-stones-for-aquarium-500g-i101542948-s1022332854.html?search=1,500g
Natural White Polished Stone Pebbles For Aquarium Decor-500g,150.00,//www.daraz.com.np/products/natural-white-polished-stone-pebbles-for-aquarium-decor-500g-i103196271-s1023919769.html?search=1,Decor-500g
Xilong Aluminium Alloy Bracket LED Aquarium Light XL-LED-MS30,875.00,//www.daraz.com.np/products/xilong-aluminium-alloy-bracket-led-aquarium-light-xl-led-ms30-i103105543-s1023868678.html?search=1,
RS Electrical Automatic Glass Heater 200W For Aquarium by Crown Aquatics,450.00,//www.daraz.com.np/products/rs-electrical-automatic-glass-heater-200w-for-aquarium-by-crown-aquatics-i108627830-s1029327879.html?search=1,
Dc Water Pump 5V Submersible,300.00,//www.daraz.com.np/products/dc-water-pump-5v-submersible-i128244599-s1035421009.html?search=1,
Xinyou Aquarium Sponge Filter For Aquarium Fish Tank XY-2835,149.00,//www.daraz.com.np/products/xinyou-aquarium-sponge-filter-for-aquarium-fish-tank-xy-2835-i128148585-s1035255051.html?search=1,
SOBO 15 Watt Fish Aquarium Internal Filter Pump WP-1000F Kohinoor Aquarium,650.00,//www.daraz.com.np/products/sobo-15-watt-fish-aquarium-internal-filter-pump-wp-1000f-kohinoor-aquarium-i128148579-s1035255041.html?search=1,
RS Electrical Automatic Aquarium Heater 25 Watts by Juwel Aquarium,400.00,//www.daraz.com.np/products/rs-electrical-automatic-aquarium-heater-25-watts-by-juwel-aquarium-i104906054-s1026428153.html?search=1,
RS Electrical Automatic Aquarium Heater 50 Watts by Juwel Aquarium,400.00,//www.daraz.com.np/products/rs-electrical-automatic-aquarium-heater-50-watts-by-juwel-aquarium-i104914093-s1026422368.html?search=1,
Water Pump 20W 220V Submersible Pump,1199.00,//www.daraz.com.np/products/water-pump-20w-220v-submersible-pump-i125340785-s1034784672.html?search=1,
RS Electrical 50 Watt Automatic Temperature Control Fish Aquarium Heater,385.00,//www.daraz.com.np/products/rs-electrical-50-watt-automatic-temperature-control-fish-aquarium-heater-i128148646-s1035250569.html?search=1,
RS Electrical RS-50w Automatic Glass Heater For Aquarium by Crown Aquatics,450.00,//www.daraz.com.np/products/rs-electrical-rs-50w-automatic-glass-heater-for-aquarium-by-crown-aquatics-i101188145-s1021914141.html?search=1,
Mixed Color Pebbles Stone 1 KG For Aquarium Decor By HAMROPETS,300.00,//www.daraz.com.np/products/mixed-color-pebbles-stone-1-kg-for-aquarium-decor-by-hamropets-i110739846-s1030009931.html?search=1,
Natural White Polished Stone Pebbles For Aquarium Decor - 1 Kg,300.00,//www.daraz.com.np/products/natural-white-polished-stone-pebbles-for-aquarium-decor-1-kg-i110743260-s1030021808.html?search=1,1Kg
Dc Water Pump 5V Submersible,225.00,//www.daraz.com.np/products/dc-water-pump-5v-submersible-i124615677-s1036873544.html?search=1,
