name,price,product_url,quantity
Bhansaghar Best Quality Premium Long Grain Rice 20 kg- Limited Super Saver Special Rice Offer,3800.00,//www.daraz.com.np/products/bhansaghar-best-quality-premium-long-grain-rice-20-kg-limited-super-saver-special-rice-offer-i103644327-s1024340898.html?search=1,
Bhansaghar Gold Steam Jeera Masino Rice 25Kg,2450.00,//www.daraz.com.np/products/bhansaghar-gold-steam-jeera-masino-rice-25kg-i111613889-s1030226478.html?search=1,25Kg
Ghaila Sona Mansuli Rice 25Kg,2050.00,//www.daraz.com.np/products/ghaila-sona-mansuli-rice-25kg-i121679180-s1033103343.html?search=1,25Kg
Subhamuhurat Steam Jeera Masino Rice 25Kg,2300.00,//www.daraz.com.np/products/subhamuhurat-steam-jeera-masino-rice-25kg-i125986243-s1034138566.html?search=1,25Kg
Thakali Long Grain Rice 20Kg,3800.00,//www.daraz.com.np/products/thakali-long-grain-rice-20kg-i111619602-s1030224460.html?search=1,20Kg
Newari Shahi Pulao Basmati Rice 20 Kg,3795.00,//www.daraz.com.np/products/newari-shahi-pulao-basmati-rice-20-kg-i118599564-s1032488088.html?search=1,20Kg
Rice Bowl Premium Steam Jeera Masino Rice 25Kg,2350.00,//www.daraz.com.np/products/rice-bowl-premium-steam-jeera-masino-rice-25kg-i125807182-s1034100539.html?search=1,25Kg
Arju Premium Long Steam Rice 25 kg Local made from Ramdhaan paddy produced by Nepali Kishan,2750.00,//www.daraz.com.np/products/arju-premium-long-steam-rice-25-kg-local-made-from-ramdhaan-paddy-produced-by-nepali-kishan-i128163082-s1035277110.html?search=1,
Tanishq Premium Steamed Jeera Masino Rice-25 kg,2400.00,//www.daraz.com.np/products/tanishq-premium-steamed-jeera-masino-rice-25-kg-i105156266-s1026816157.html?search=1,Rice-25kg
Hulas Jeera Masino  Rice 25Kg,2800.00,//www.daraz.com.np/products/hulas-jeera-masino-rice-25kg-i103642343-s1024338837.html?search=1,25Kg
Aarati Premium Rice-20 Kg,4249.00,//www.daraz.com.np/products/aarati-premium-rice-20-kg-i103642348-s1024338842.html?search=1,Rice-20Kg
Brown Rice 5 Kg,850.00,//www.daraz.com.np/products/brown-rice-5-kg-i105603709-s1027419166.html?search=1,5Kg
